resample,F1-Score,Accuracy,Sensitivity,AUC
RUS,0.91640421,0.8514839881632533,0.6503311258278146,0.7531827009771863
RUS,0.91640421,0.815680759426914,0.7337748344370861,0.775654195742033
RUS,0.91640421,0.6873223755530163,0.7298013245033113,0.7080813909189615
RUS,0.91640421,0.6599572236383346,0.752317880794702,0.7050929049227584
RUS,0.91640421,0.6969617063666461,0.5960264900662252,0.647635728254589
RUS,0.91640421,0.6577891066772142,0.785430463576159,0.7201660946835733
RUS,0.91640421,0.818288359555829,0.8635761589403973,0.8404200305727872
RUS,0.91640421,0.7972224663795376,0.8317880794701987,0.814114317779203
RUS,0.91640421,0.815680759426914,0.7615894039735099,0.7892468831948087
RUS,0.91640421,0.8189622337464475,0.8503311258278146,0.8342918812264671
RUS,0.91640421,0.8114031232603791,0.7377483443708609,0.7754088078517776
RUS,0.91640421,0.8111394333597023,0.7377483443708609,0.7752739804308764
RUS,0.91640421,0.8514839881632533,0.6503311258278146,0.7531827009771863
RUS,0.91640421,0.815680759426914,0.7337748344370861,0.775654195742033
RUS,0.91640421,0.6873223755530163,0.7298013245033113,0.7080813909189615
RUS,0.91640421,0.6599572236383346,0.752317880794702,0.7050929049227584
RUS,0.91640421,0.6969617063666461,0.5960264900662252,0.647635728254589
RUS,0.91640421,0.6577891066772142,0.785430463576159,0.7201660946835733
RUS,0.91640421,0.818288359555829,0.8635761589403973,0.8404200305727872
RUS,0.91640421,0.7972224663795376,0.8317880794701987,0.814114317779203
RUS,0.91640421,0.815680759426914,0.7615894039735099,0.7892468831948087
RUS,0.91640421,0.8189622337464475,0.8503311258278146,0.8342918812264671
RUS,0.91640421,0.8114031232603791,0.7377483443708609,0.7754088078517776
RUS,0.91640421,0.8111394333597023,0.7377483443708609,0.7752739804308764
RUS,0.91640421,0.8514839881632533,0.6503311258278146,0.7531827009771863
RUS,0.91640421,0.815680759426914,0.7337748344370861,0.775654195742033
RUS,0.91640421,0.6873223755530163,0.7298013245033113,0.7080813909189615
RUS,0.91640421,0.6599572236383346,0.752317880794702,0.7050929049227584
RUS,0.91640421,0.6969617063666461,0.5960264900662252,0.647635728254589
RUS,0.91640421,0.6577891066772142,0.785430463576159,0.7201660946835733
RUS,0.91640421,0.818288359555829,0.8635761589403973,0.8404200305727872
RUS,0.91640421,0.7972224663795376,0.8317880794701987,0.814114317779203
RUS,0.91640421,0.815680759426914,0.7615894039735099,0.7892468831948087
RUS,0.91640421,0.8189622337464475,0.8503311258278146,0.8342918812264671
RUS,0.91640421,0.8114031232603791,0.7377483443708609,0.7754088078517776
RUS,0.91640421,0.8111394333597023,0.7377483443708609,0.7752739804308764
RUS,0.91640421,0.8514839881632533,0.6503311258278146,0.7531827009771863
RUS,0.91640421,0.815680759426914,0.7337748344370861,0.775654195742033
RUS,0.91640421,0.6873223755530163,0.7298013245033113,0.7080813909189615
RUS,0.91640421,0.6599572236383346,0.752317880794702,0.7050929049227584
RUS,0.91640421,0.6969617063666461,0.5960264900662252,0.647635728254589
RUS,0.91640421,0.6577891066772142,0.785430463576159,0.7201660946835733
RUS,0.91640421,0.818288359555829,0.8635761589403973,0.8404200305727872
RUS,0.91640421,0.7972224663795376,0.8317880794701987,0.814114317779203
RUS,0.91640421,0.815680759426914,0.7615894039735099,0.7892468831948087
RUS,0.91640421,0.8189622337464475,0.8503311258278146,0.8342918812264671
RUS,0.91640421,0.8114031232603791,0.7377483443708609,0.7754088078517776
RUS,0.91640421,0.8111394333597023,0.7377483443708609,0.7752739804308764
RUS,0.91640421,0.8514839881632533,0.6503311258278146,0.7531827009771863
RUS,0.91640421,0.815680759426914,0.7337748344370861,0.775654195742033
